Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
89,Dominican Republic,5.155,1.028,0.995,0.577,0.523,0.213,0.124
90,Morocco,5.151,0.841,0.386,0.595,0.256,0.041,0.084
91,Hungary,5.145,1.241,0.932,0.676,0.198,0.099,0.045
92,Pakistan,5.132,0.688,0.261,0.403,0.146,0.312,0.139
93,Lebanon,5.129,1.123,0.642,0.762,0.262,0.237,0.031
94,Portugal,5.123,1.276,0.944,0.794,0.447,0.117,0.015
95,Macedonia,5.121,1.019,0.782,0.647,0.277,0.235,0.070
96,Vietnam,5.061,0.740,0.791,0.662,0.560,0.251,0.116
97,Somaliland Region,5.057,0.256,0.759,0.331,0.391,0.515,0.368
98,Tunisia,5.045,0.977,0.432,0.596,0.236,0.039,0.082
99,Greece,5.033,1.249,0.755,0.800,0.058,0.000,0.041
100,Tajikistan,4.996,0.488,0.756,0.531,0.434,0.260,0.135
101,Mongolia,4.907,0.989,1.090,0.555,0.360,0.345,0.033
102,Laos,4.876,0.680,0.550,0.383,0.522,0.431,0.224
103,Nigeria,4.875,0.752,0.645,0.051,0.279,0.232,0.031
104,Honduras,4.871,0.694,0.756,0.584,0.268,0.204,0.069
105,Iran,4.813,1.118,0.389,0.642,0.225,0.385,0.056
106,Zambia,4.795,0.612,0.638,0.236,0.427,0.179,0.115
107,Nepal,4.793,0.446,0.697,0.501,0.370,0.382,0.070
108,Palestinian Territories,4.754,0.670,0.716,0.568,0.177,0.112,0.106
109,Albania,4.655,0.955,0.502,0.730,0.319,0.168,0.053
110,Bangladesh,4.643,0.542,0.247,0.530,0.398,0.191,0.126
111,Sierra Leone,4.635,0.365,0.628,0.000,0.307,0.239,0.082
112,Iraq,4.575,1.075,0.592,0.511,0.249,0.196,0.136
113,Namibia,4.574,0.933,0.704,0.347,0.486,0.078,0.104
114,Cameroon,4.513,0.525,0.625,0.127,0.427,0.227,0.061
115,Ethiopia,4.508,0.293,0.379,0.346,0.367,0.295,0.172
116,South Africa,4.459,1.024,0.961,0.186,0.425,0.137,0.084
117,Sri Lanka,4.415,0.973,0.848,0.620,0.508,0.470,0.080
118,India,4.404,0.740,0.292,0.451,0.403,0.250,0.087
119,Myanmar,4.395,0.341,0.700,0.399,0.427,0.820,0.202
120,Egypt,4.362,0.954,0.498,0.521,0.188,0.127,0.104
121,Armenia,4.360,0.861,0.625,0.641,0.140,0.078,0.036
122,Kenya,4.356,0.523,0.762,0.301,0.406,0.413,0.067
123,Ukraine,4.324,0.873,1.014,0.586,0.129,0.204,0.018
124,Ghana,4.276,0.631,0.494,0.297,0.410,0.212,0.033
125,Congo (Kinshasa),4.272,0.057,0.807,0.188,0.156,0.255,0.061
126,Georgia,4.252,0.838,0.192,0.640,0.325,0.068,0.319
127,Congo (Brazzaville),4.236,0.771,0.478,0.282,0.379,0.121,0.098
128,Senegal,4.219,0.443,0.774,0.405,0.311,0.191,0.117
129,Bulgaria,4.217,1.113,0.925,0.678,0.212,0.128,0.006
130,Mauritania,4.201,0.614,0.841,0.286,0.127,0.227,0.180
131,Zimbabwe,4.193,0.350,0.715,0.160,0.254,0.185,0.086
132,Malawi,4.156,0.087,0.147,0.294,0.414,0.310,0.076
133,Sudan,4.139,0.631,0.819,0.298,0.000,0.181,0.100
134,Gabon,4.121,1.159,0.724,0.349,0.281,0.062,0.093
135,Mali,4.073,0.313,0.863,0.163,0.275,0.211,0.136
136,Haiti,4.028,0.341,0.296,0.275,0.121,0.480,0.145
137,Botswana,3.974,1.094,0.892,0.348,0.441,0.124,0.108
138,Comoros,3.956,0.275,0.603,0.300,0.154,0.183,0.184
139,Ivory Coast,3.916,0.555,0.576,0.045,0.407,0.203,0.155
140,Cambodia,3.907,0.556,0.538,0.425,0.589,0.403,0.081
141,Angola,3.866,0.847,0.664,0.050,0.006,0.121,0.084
142,Niger,3.856,0.133,0.605,0.262,0.380,0.210,0.172
143,South Sudan,3.832,0.394,0.185,0.158,0.197,0.259,0.130
144,Chad,3.763,0.422,0.632,0.038,0.128,0.187,0.050
