Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
67,Cyprus,5.689,1.208,0.893,0.924,0.407,0.306,0.061
68,Algeria,5.605,0.939,1.078,0.618,0.286,0.078,0.174
69,Kosovo,5.589,0.801,0.812,0.631,0.247,0.283,0.047
70,Turkmenistan,5.548,0.958,1.227,0.539,0.476,0.170,0.308
71,Mauritius,5.477,1.008,0.985,0.710,0.561,0.377,0.075
72,Hong Kong,5.474,1.386,1.058,1.013,0.596,0.395,0.371
73,Estonia,5.429,1.152,1.228,0.774,0.449,0.087,0.152
74,Indonesia,5.399,0.828,1.087,0.638,0.466,0.515,0.000
75,Vietnam,5.360,0.632,0.912,0.747,0.594,0.169,0.104
76,Turkey,5.332,1.061,0.946,0.732,0.228,0.123,0.157
77,Kyrgyzstan,5.286,0.474,1.151,0.651,0.435,0.300,0.042
78,Nigeria,5.268,0.654,0.904,0.160,0.343,0.272,0.040
79,Bhutan,5.253,0.770,1.104,0.574,0.532,0.480,0.154
80,Azerbaijan,5.212,1.024,0.938,0.640,0.370,0.078,0.161
81,Pakistan,5.194,0.595,0.414,0.515,0.121,0.337,0.105
82,Jordan,5.192,0.902,1.054,0.696,0.407,0.111,0.143
82,Montenegro,5.192,0.974,0.906,0.725,0.183,0.161,0.143
84,China,5.140,0.890,0.947,0.817,0.517,0.082,0.028
85,Zambia,5.129,0.470,0.916,0.299,0.488,0.196,0.125
86,Romania,5.124,1.043,0.886,0.769,0.351,0.137,0.006
87,Serbia,5.123,0.921,1.010,0.748,0.201,0.192,0.026
88,Portugal,5.102,1.160,1.139,0.875,0.515,0.137,0.011
89,Latvia,5.098,1.113,1.096,0.724,0.297,0.182,0.063
90,Philippines,5.073,0.705,1.035,0.581,0.625,0.250,0.123
91,Somaliland region,5.057,0.188,0.952,0.439,0.466,0.503,0.399
92,Morocco,5.013,0.735,0.641,0.610,0.417,0.072,0.085
93,Macedonia,5.007,0.919,1.002,0.735,0.335,0.224,0.053
94,Mozambique,4.971,0.083,1.026,0.091,0.340,0.223,0.156
95,Albania,4.959,0.879,0.804,0.813,0.357,0.143,0.064
96,Bosnia and Herzegovina,4.949,0.832,0.919,0.791,0.092,0.248,0.002
97,Lesotho,4.898,0.375,1.041,0.076,0.318,0.164,0.125
98,Dominican Republic,4.885,0.895,1.172,0.668,0.577,0.217,0.142
99,Laos,4.876,0.591,0.738,0.549,0.596,0.422,0.242
100,Mongolia,4.874,0.828,1.301,0.603,0.436,0.332,0.027
101,Swaziland,4.867,0.712,1.073,0.076,0.307,0.183,0.031
102,Greece,4.857,1.154,0.929,0.882,0.077,0.000,0.014
103,Lebanon,4.839,1.026,0.800,0.839,0.339,0.219,0.046
104,Hungary,4.800,1.121,1.202,0.759,0.321,0.128,0.028
105,Honduras,4.788,0.595,0.953,0.695,0.401,0.230,0.068
106,Tajikistan,4.786,0.390,0.856,0.574,0.472,0.230,0.151
107,Tunisia,4.739,0.881,0.604,0.738,0.263,0.064,0.064
108,Palestinian Territories,4.715,0.599,0.926,0.660,0.245,0.113,0.129
109,Bangladesh,4.694,0.398,0.431,0.602,0.408,0.212,0.126
110,Iran,4.686,1.009,0.544,0.698,0.300,0.381,0.059
111,Ukraine,4.681,0.799,1.203,0.674,0.251,0.153,0.030
112,Iraq,4.677,0.985,0.819,0.602,0.000,0.179,0.138
113,South Africa,4.642,0.920,1.185,0.277,0.332,0.120,0.089
114,Ghana,4.633,0.546,0.680,0.401,0.423,0.231,0.044
115,Zimbabwe,4.610,0.271,1.033,0.335,0.259,0.190,0.081
116,Liberia,4.571,0.071,0.790,0.342,0.285,0.244,0.062
117,India,4.565,0.645,0.382,0.515,0.398,0.265,0.085
118,Sudan,4.550,0.521,1.014,0.369,0.101,0.191,0.147
119,Haiti,4.518,0.267,0.743,0.388,0.244,0.462,0.172
120,Congo (Kinshasa),4.517,0.000,1.001,0.098,0.226,0.248,0.076
121,Nepal,4.514,0.360,0.864,0.569,0.383,0.323,0.059
122,Ethiopia,4.512,0.191,0.604,0.441,0.435,0.243,0.150
123,Sierra Leone,4.507,0.330,0.956,0.000,0.408,0.215,0.088
124,Mauritania,4.436,0.454,0.869,0.359,0.242,0.219,0.175
125,Kenya,4.419,0.365,0.999,0.414,0.422,0.375,0.058
126,Djibouti,4.369,0.440,0.592,0.363,0.461,0.181,0.281
127,Armenia,4.350,0.768,0.777,0.730,0.198,0.079,0.039
128,Botswana,4.332,0.994,1.105,0.048,0.495,0.105,0.125
129,Myanmar,4.307,0.271,0.709,0.482,0.440,0.796,0.190
130,Georgia,4.297,0.742,0.386,0.729,0.406,0.055,0.383
131,Malawi,4.292,0.016,0.411,0.226,0.431,0.331,0.070
132,Sri Lanka,4.271,0.835,1.019,0.708,0.537,0.408,0.092
133,Cameroon,4.252,0.423,0.888,0.234,0.493,0.206,0.058
134,Bulgaria,4.218,1.012,1.106,0.766,0.306,0.119,0.009
135,Egypt,4.194,0.882,0.747,0.617,0.173,0.113,0.063
136,Yemen,4.077,0.546,0.681,0.401,0.356,0.091,0.079
137,Angola,4.033,0.758,0.860,0.167,0.104,0.123,0.071
138,Mali,3.995,0.261,1.035,0.206,0.389,0.188,0.124
139,Congo (Brazzaville),3.989,0.679,0.663,0.311,0.415,0.124,0.117
140,Comoros,3.956,0.239,0.793,0.363,0.229,0.174,0.199
141,Uganda,3.931,0.211,1.133,0.339,0.457,0.291,0.073
142,Senegal,3.904,0.365,0.976,0.435,0.368,0.208,0.107
143,Gabon,3.896,1.060,0.905,0.434,0.319,0.068,0.111
144,Niger,3.845,0.069,0.773,0.297,0.477,0.194,0.156
145,Cambodia,3.819,0.460,0.627,0.611,0.662,0.404,0.072
146,Tanzania,3.781,0.285,1.003,0.382,0.329,0.344,0.057
147,Madagascar,3.681,0.208,0.668,0.467,0.192,0.213,0.081
148,Central African Republic,3.678,0.079,0.000,0.067,0.489,0.238,0.083
149,Chad,3.667,0.342,0.761,0.150,0.235,0.184,0.053
150,Guinea,3.656,0.174,0.465,0.240,0.377,0.287,0.121
151,Ivory Coast,3.655,0.465,0.771,0.152,0.469,0.202,0.179
152,Burkina Faso,3.587,0.258,0.852,0.271,0.395,0.217,0.128
153,Afghanistan,3.575,0.320,0.303,0.303,0.234,0.365,0.097
154,Rwanda,3.465,0.222,0.774,0.429,0.592,0.226,0.552
155,Benin,3.340,0.287,0.354,0.319,0.485,0.183,0.080
156,Syria,3.006,0.663,0.475,0.722,0.157,0.472,0.189
157,Burundi,2.905,0.015,0.416,0.224,0.119,0.197,0.101
158,Togo,2.839,0.209,0.140,0.284,0.365,0.167,0.107
